;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios;Municípios
;Municípioarrow_upward;UFarrow_upward;Smartline CAT (2012 a 2020)arrow_upward;Variação CAT (2019-2020)arrow_upward;Smartline B91 (2012 a 2020)arrow_upward;Variação B91 (2019-2020)arrow_upward;Smartline B31 (2012 a 2020)arrow_upward;Variação B31 (2019-2020)arrow_upward;Smartline SINAN (2007 a 2020)arrow_upward;Variação SINAN (2019-2020)arrow_upward
6;Brejões;BA;3  3;0%;4  3;0%;52  35;-22,2%;12  5;-75%
7;Itapebi;BA;10  3;-72,7%;18  2;-66,7%;34  17;-29,2%;2  12;-50%
8;Coração de Maria;BA;2  3;+50%;5  4;-71,4%;158  117;-43,2%;0  8;+166,7%
9;Paripiranga;BA;0  3;de 0 para 3;6  2;-33,3%;257  155;-37%;0  3;0%
0;Campo Alegre de Lourdes;BA;6  3;0%;10  0;de 8 para 0;159  125;-10,1%;6  1;-90,9%
1;Buritirama;BA;0  3;+50%;5  2;0%;86  85;-23,4%;0  10;+66,7%
2;Tanhaçu;BA;17  3;-40%;18  3;-72,7%;83  93;-30,1%;6  2;-83,3%
3;Glória;BA;2  3;de 0 para 3;8  1;-50%;106  98;0%;0  13;+160%
4;Itapicuru;BA;1  3;+50%;2  1;0%;45  86;-19,6%;0  78;+1.014,3%
5;Condeúba;BA;5  3;-70%;8  3;-70%;160  99;-24,4%;24  3;0%
6;Ibicaraí;BA;9  3;-25%;10  0;de 11 para 0;74  118;+35,6%;1  8;+33,3%
7;Macarani;BA;5  3;-70%;5  2;-71,4%;133  100;-10,7%;10  9;-43,8%
8;Tucano;BA;5  3;-62,5%;4  3;-25%;253  263;-20,5%;1  4;-60%
9;Jiquiriçá;BA;2  3;0%;14  4;+33,3%;161  104;-18,8%;5  26;+52,9%
0;Antônio Cardoso;BA;3  3;0%;2  2;-60%;105  64;-11,1%;0  1;-66,7%
1;Maragogipe;BA;70  3;0%;100  2;-87,5%;706  324;-31,9%;0  4;+100%
2;Igrapiúna;BA;16  3;-75%;12  4;-60%;131  65;-28,6%;0  33;+1.550%
3;Bonito;BA;1  3;+50%;3  1;0%;130  63;-54,3%;12  61;+96,8%
4;Teofilândia;BA;4  3;+200%;11  3;-75%;232  115;-28,1%;4  6;-14,3%
5;Anagé;BA;1  3;-40%;11  4;0%;71  102;-15%;3  6;-53,8%
6;Itanhém;BA;17  3;-40%;10  3;-70%;90  63;-49,2%;5  5;-37,5%
7;Cícero Dantas;BA;4  3;+50%;6  1;-80%;154  232;-2,1%;1  2;-66,7%
8;Caetanos;BA;4  3;-25%;6  0;de 1 para 0;57  40;-55,6%;3  9;-55%
9;Riacho de Santana;BA;4  3;+200%;7  9;-25%;239  311;+5,8%;5  0;sem incidência
0;Boa Vista do Tupim;BA;2  3;0%;0  1;-50%;44  53;-5,4%;22  37;+428,6%
1;Boninal;BA;5  3;+50%;4  2;-81,8%;65  101;0%;25  26;-33,3%
2;Camamu;BA;7  3;-57,1%;15  5;-50%;204  109;-23,8%;3  22;+144,4%
3;Santa Luzia;BA;0  3;de 0 para 3;7  4;de 0 para 4;30  16;-11,1%;0  7;0%
